epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,24540.1,1.89218,2.25018,2.18537,0.57274,0.5349,0.52052,0.272,1.80861,1.95283,2.02386,0.000687222,0.000687222,0.000687222
78,24730.8,1.86794,2.22671,2.1519,0.64757,0.54695,0.5729,0.30162,1.79407,1.85424,2.00724,0.00067997,0.00067997,0.00067997
79,24928.3,1.89397,2.17333,2.16042,0.65678,0.55206,0.59113,0.31571,1.79249,1.80487,2.00303,0.000672675,0.000672675,0.000672675
80,25150.5,1.89615,2.16351,2.19507,0.68067,0.55331,0.60108,0.31794,1.80431,1.82069,2.01835,0.000665339,0.000665339,0.000665339
81,25345.8,1.89808,2.18624,2.18973,0.61363,0.58991,0.58399,0.30509,1.80221,1.84085,2.01835,0.000657963,0.000657963,0.000657963
82,25537.6,1.85327,2.11119,2.13269,0.64687,0.56766,0.59446,0.31642,1.76728,1.75601,1.98636,0.00065055,0.00065055,0.00065055
83,25751,1.87625,2.1258,2.12259,0.58106,0.56308,0.57528,0.30868,1.75079,1.75963,1.9718,0.000643101,0.000643101,0.000643101
84,25900.6,1.83425,2.08318,2.12765,0.69836,0.59649,0.64612,0.34845,1.72856,1.67232,1.96062,0.000635617,0.000635617,0.000635617
85,26078.8,1.85868,2.07242,2.13769,0.6707,0.56418,0.60738,0.31457,1.76986,1.717,1.98555,0.000628101,0.000628101,0.000628101
86,26219.3,1.82972,2.0519,2.12452,0.6588,0.60653,0.63809,0.33117,1.74275,1.70407,1.96671,0.000620555,0.000620555,0.000620555
87,26476.8,1.81764,2.01916,2.09297,0.69454,0.57933,0.63146,0.34058,1.74563,1.67741,1.97099,0.000612981,0.000612981,0.000612981
88,26645.9,1.84666,2.06254,2.13099,0.68424,0.58845,0.60465,0.33864,1.69362,1.69376,1.93259,0.00060538,0.00060538,0.00060538
89,26761.3,1.79001,2.01678,2.08974,0.65786,0.61432,0.63877,0.35142,1.71624,1.61885,1.94451,0.000597754,0.000597754,0.000597754
90,26888.5,1.83789,1.99382,2.11427,0.6505,0.61391,0.61212,0.33517,1.71943,1.66589,1.9523,0.000590105,0.000590105,0.000590105
91,27014.8,1.83258,1.98839,2.1273,0.62141,0.65272,0.65157,0.35325,1.72046,1.62003,1.93527,0.000582435,0.000582435,0.000582435
92,27318.2,1.78726,1.97265,2.07864,0.66565,0.6315,0.64617,0.36159,1.69884,1.59878,1.93905,0.000574746,0.000574746,0.000574746
93,27538.8,1.79764,1.97275,2.10201,0.709,0.63213,0.67058,0.3611,1.674,1.56289,1.93329,0.00056704,0.00056704,0.00056704
94,27740.8,1.83794,1.96782,2.1176,0.68764,0.65579,0.67616,0.36718,1.7193,1.57417,1.94751,0.000559318,0.000559318,0.000559318
95,27933.6,1.7703,1.92634,2.06089,0.77868,0.63119,0.68975,0.3924,1.64301,1.5041,1.89627,0.000551584,0.000551584,0.000551584
