epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,71953.5,0.75518,0.78504,0.71286,1.36615,0.93576,0.97106,0.97941,0.7856,0.9486,0.9844,0.98372,0.81869,0.75858,0.43812,0.61075,1.29077,0.000327608,0.000327608,0.000327608
76,72914.7,0.76507,0.86022,0.74736,1.37398,0.94251,0.97333,0.99071,0.77373,0.95582,0.98667,0.9928,0.80834,0.81719,0.42634,0.60013,1.3067,0.000315572,0.000315572,0.000315572
77,73872.1,0.7629,0.86279,0.7382,1.39853,0.90235,0.98567,0.98248,0.78979,0.91453,0.99872,0.98513,0.78302,0.73917,0.46871,0.67532,1.25048,0.000303665,0.000303665,0.000303665
78,74832.5,0.70806,0.83552,0.69596,1.33875,0.95495,0.94667,0.9855,0.82547,0.92537,0.99203,0.98769,0.814,0.66462,0.47617,0.55959,1.17554,0.000291897,0.000291897,0.000291897
79,75796,0.71392,0.84682,0.69132,1.36134,0.94824,0.96,0.98957,0.79301,0.96579,0.97333,0.99275,0.813,0.752,0.47693,0.56835,1.26486,0.000280275,0.000280275,0.000280275
80,76755.7,0.71212,0.83481,0.71803,1.32735,0.95979,0.95487,0.99191,0.8345,0.95979,0.95487,0.99191,0.83921,0.66751,0.41609,0.50369,1.14838,0.000268806,0.000268806,0.000268806
81,77714.9,0.63898,0.73563,0.66301,1.28393,0.97242,0.94028,0.99098,0.8322,0.97242,0.94028,0.99098,0.84901,0.64924,0.40027,0.52641,1.13701,0.0002575,0.0002575,0.0002575
82,78671.7,0.64303,0.76788,0.64675,1.29731,0.9613,0.99353,0.99329,0.82654,0.9613,0.99353,0.99329,0.84415,0.6607,0.42904,0.53803,1.10848,0.000246363,0.000246363,0.000246363
83,79636.6,0.6254,0.77889,0.65939,1.24825,0.98827,0.98667,0.99487,0.82947,0.98827,0.98667,0.99487,0.84506,0.68436,0.4277,0.50052,1.12866,0.000235404,0.000235404,0.000235404
84,80595.5,0.67484,0.75673,0.67105,1.29523,0.9567,0.98667,0.99138,0.81898,0.9567,0.98667,0.99138,0.81825,0.65325,0.3869,0.50595,1.11456,0.000224629,0.000224629,0.000224629
85,81555.5,0.6356,0.78845,0.65018,1.24251,0.96256,0.98667,0.9917,0.80727,0.96256,0.98667,0.9917,0.82498,0.7128,0.37759,0.55789,1.18789,0.000214046,0.000214046,0.000214046
86,82539.7,0.66306,0.72695,0.64288,1.30223,0.9363,1,0.98862,0.79982,0.9363,1,0.98862,0.8105,0.69744,0.3975,0.57035,1.17084,0.000203663,0.000203663,0.000203663
87,83569.7,0.66942,0.76148,0.68947,1.26725,0.9412,0.97333,0.99203,0.8066,0.9412,0.97333,0.99203,0.81591,0.69595,0.42237,0.56018,1.22093,0.000193486,0.000193486,0.000193486
88,84533.7,0.6358,0.75896,0.64093,1.27022,0.97117,0.98667,0.99302,0.84487,0.9739,0.99527,0.99316,0.82478,0.67463,0.45174,0.51803,1.20111,0.000183523,0.000183523,0.000183523
89,85495.1,0.64308,0.72806,0.62408,1.25561,0.96476,0.97333,0.9898,0.83171,0.96476,0.97333,0.99057,0.79613,0.66749,0.47367,0.53163,1.18863,0.00017378,0.00017378,0.00017378
90,86457.4,0.64633,0.7457,0.65007,1.26472,0.96933,0.98667,0.99078,0.83253,0.96933,0.98667,0.99078,0.83997,0.67686,0.39203,0.50951,1.21658,0.000164264,0.000164264,0.000164264
91,87420.4,0.67074,0.75451,0.67067,1.29915,0.9712,0.98667,0.99303,0.84185,0.9712,0.98667,0.99303,0.85511,0.63016,0.36265,0.47296,1.13021,0.000154982,0.000154982,0.000154982
92,88384.7,0.63,0.8102,0.61782,1.25637,0.9603,1,0.99356,0.83726,0.9603,1,0.99356,0.87201,0.65328,0.3595,0.47917,1.14352,0.00014594,0.00014594,0.00014594
93,89346.9,0.59901,0.775,0.61407,1.23577,0.98675,0.99323,0.99447,0.85412,0.98675,0.99323,0.99447,0.86575,0.6357,0.36208,0.47644,1.12016,0.000137143,0.000137143,0.000137143
94,90306.6,0.63191,0.70234,0.59975,1.28392,0.96996,1,0.99447,0.85676,0.96996,1,0.99447,0.8586,0.61167,0.36579,0.45082,1.09185,0.000128599,0.000128599,0.000128599
95,91265.8,0.63915,0.78124,0.6473,1.24583,0.98093,0.98667,0.99329,0.85156,0.98093,0.98667,0.99329,0.85997,0.62312,0.35629,0.45591,1.10015,0.000120313,0.000120313,0.000120313
96,92228.4,0.60472,0.71029,0.58527,1.22759,0.98283,1,0.99224,0.85615,0.98283,1,0.99224,0.84921,0.6091,0.36007,0.46101,1.0739,0.00011229,0.00011229,0.00011229
97,93193.4,0.59042,0.68107,0.59875,1.20014,0.96055,0.98667,0.9879,0.8579,0.95565,0.98667,0.98895,0.83485,0.5948,0.38171,0.46627,1.06057,0.000104537,0.000104537,0.000104537
98,94157.8,0.60464,0.71667,0.62281,1.22048,0.97057,0.97333,0.98882,0.85656,0.94699,1,0.98963,0.85544,0.58995,0.35681,0.47429,1.05869,9.70575e-05,9.70575e-05,9.70575e-05
99,95114.8,0.57301,0.70799,0.57995,1.21345,0.93659,0.98465,0.98912,0.856,0.9486,0.9843,0.99167,0.85542,0.60261,0.35089,0.48914,1.06967,8.98581e-05,8.98581e-05,8.98581e-05
100,96069.8,0.59022,0.72447,0.58096,1.24775,0.9488,1,0.98983,0.86144,0.94916,0.99574,0.99094,0.86734,0.59333,0.34722,0.47598,1.06074,8.29431e-05,8.29431e-05,8.29431e-05
101,97026.4,0.60241,0.72346,0.59767,1.23949,0.9868,0.99651,0.99487,0.87775,0.9868,0.99651,0.99487,0.87384,0.56434,0.34421,0.44742,1.04185,7.63174e-05,7.63174e-05,7.63174e-05
102,97990.9,0.57099,0.69268,0.59632,1.19984,0.9738,0.99129,0.99461,0.87254,0.9738,0.99129,0.99461,0.86913,0.55075,0.34207,0.43778,1.03661,6.99855e-05,6.99855e-05,6.99855e-05
103,98950.9,0.53254,0.59577,0.53031,1.18027,1,0.98397,0.995,0.87454,1,0.98397,0.995,0.86574,0.54312,0.33971,0.43587,1.02228,6.39518e-05,6.39518e-05,6.39518e-05
104,99913.3,0.56894,0.70661,0.56326,1.20208,0.98108,0.98667,0.99474,0.87584,0.98108,0.98667,0.99474,0.86535,0.55584,0.33668,0.42981,1.0231,5.82203e-05,5.82203e-05,5.82203e-05
105,100873,0.56801,0.64511,0.56009,1.20509,0.9834,0.98667,0.99474,0.86942,0.9834,0.98667,0.99474,0.86318,0.56325,0.33597,0.42528,1.02814,5.2795e-05,5.2795e-05,5.2795e-05
106,101825,0.55592,0.70107,0.57525,1.18767,0.97209,1,0.99448,0.87415,0.97209,1,0.99448,0.86282,0.54748,0.33699,0.42795,1.02407,4.76796e-05,4.76796e-05,4.76796e-05
107,102783,0.56518,0.65371,0.5745,1.19212,0.97269,1,0.99474,0.8805,0.97269,1,0.99474,0.866,0.53218,0.33801,0.42864,1.00048,4.28777e-05,4.28777e-05,4.28777e-05
108,103740,0.52001,0.66822,0.52302,1.18425,0.97191,1,0.99396,0.879,0.97191,1,0.99396,0.86595,0.53184,0.33718,0.42971,1.00546,3.83925e-05,3.83925e-05,3.83925e-05
109,104700,0.53297,0.69239,0.53935,1.17968,0.9844,1,0.99474,0.87852,0.9844,1,0.99474,0.87053,0.54898,0.34385,0.42937,1.01671,3.4227e-05,3.4227e-05,3.4227e-05
110,105656,0.58669,0.72938,0.57012,1.23212,0.9843,1,0.99474,0.88095,0.9843,1,0.99474,0.87165,0.54907,0.35067,0.42567,1.01001,3.03842e-05,3.03842e-05,3.03842e-05
111,106612,0.44931,0.43181,0.41951,1.21395,0.97385,0.99314,0.99434,0.87818,0.97385,0.99314,0.99434,0.86127,0.53847,0.35861,0.43729,0.9951,2.68667e-05,2.68667e-05,2.68667e-05
112,107570,0.41668,0.39091,0.41522,1.12618,0.97395,0.99705,0.99448,0.88096,0.97395,0.99705,0.99448,0.85859,0.52402,0.35866,0.43184,0.98566,2.36769e-05,2.36769e-05,2.36769e-05
113,108521,0.44096,0.40741,0.41707,1.1656,0.98656,1,0.99487,0.88423,0.98656,1,0.99487,0.85746,0.51422,0.35597,0.42413,0.98228,2.08169e-05,2.08169e-05,2.08169e-05
114,109478,0.44946,0.39924,0.39918,1.16948,0.99436,1,0.995,0.88271,0.99436,1,0.995,0.85159,0.52114,0.3488,0.41382,0.98395,1.82888e-05,1.82888e-05,1.82888e-05
115,110429,0.44693,0.3736,0.39472,1.13992,0.97434,1,0.99474,0.88892,0.97434,1,0.99474,0.85725,0.52183,0.34564,0.40305,0.98878,1.60943e-05,1.60943e-05,1.60943e-05
116,111385,0.39975,0.38808,0.37018,1.14601,0.97239,1,0.99474,0.89012,0.97239,1,0.99474,0.86575,0.51118,0.34046,0.39674,0.9792,1.42348e-05,1.42348e-05,1.42348e-05
117,112345,0.42332,0.3764,0.36526,1.18388,0.98277,1,0.99474,0.89404,0.98277,1,0.99474,0.86726,0.51304,0.33842,0.3904,0.97787,1.27117e-05,1.27117e-05,1.27117e-05
118,113300,0.42662,0.38071,0.37894,1.18606,0.98285,1,0.99474,0.89061,0.98285,1,0.99474,0.8664,0.51701,0.33487,0.38856,0.98102,1.15259e-05,1.15259e-05,1.15259e-05
119,114259,0.4575,0.40848,0.39678,1.18289,0.9826,1,0.99474,0.89178,0.9826,1,0.99474,0.86745,0.52347,0.33366,0.38766,0.98602,1.06784e-05,1.06784e-05,1.06784e-05
120,115211,0.42756,0.37691,0.3671,1.15418,0.96744,1,0.99421,0.89346,0.96744,1,0.99421,0.86975,0.52439,0.3327,0.38205,0.98221,1.01696e-05,1.01696e-05,1.01696e-05
